image,title,start_date,genres,num_list_users,media_type
https://cdn.myanimelist.net/images/anime/1712/148299l.jpg,The Beginning After the End,2025-04-02,"Fantasy, Isekai, Reincarnation",5.25,tv
https://cdn.myanimelist.net/images/anime/1564/148380l.jpg,Classic★Stars,2025-04-06,"Music, School",5.44,tv
https://cdn.myanimelist.net/images/anime/1552/119871l.jpg,Ninjala (TV),2022-01-08,Action,5.57,tv
https://cdn.myanimelist.net/images/anime/1214/142185l.webp,Haigakura,2024-10-07,"Adventure, Fantasy, Josei",5.59,tv
https://cdn.myanimelist.net/images/anime/1472/148029l.jpg,Miru: Paths to My Future,2025-04-03,Sci-Fi,5.59,tv
https://cdn.myanimelist.net/images/anime/1199/147623l.jpg,Guilty Gear Strive: Dual Rulers,2025-04-05,"Action, Fantasy",5.72,tv
https://cdn.myanimelist.net/images/anime/1707/149093l.jpg,Chotto dake Ai ga Omoi Dark Elf ga Isekai kara Oikaketekita Mini Anime Gekijou,2025-04-07,"Comedy, Fantasy, Urban Fantasy",5.78,tv
https://cdn.myanimelist.net/images/anime/1535/95070l.jpg,Puzzle & Dragon,2018-04-02,"Kids, Strategy Game",5.83,tv
https://cdn.myanimelist.net/images/anime/1105/90503l.jpg,Hanakappa,2010-03-29,"Comedy, Kids",6,tv
https://cdn.myanimelist.net/images/anime/1544/141797l.jpg,Fushigi Dagashiya: Zenitendou,2020-09-08,"Kids, Mystery",6.01,tv
https://cdn.myanimelist.net/images/anime/1990/147353l.jpg,Yu-Gi-Oh! Card Game: The Chronicles,2025-04-21,"Action, Adventure, Fantasy, Sci-Fi",6.04,ona
https://cdn.myanimelist.net/images/anime/1957/146803l.jpg,Gag Manga Biyori Go,2025-04-05,"Comedy, Gag Humor, Shounen",6.08,tv
https://cdn.myanimelist.net/images/anime/1550/145123l.jpg,Mashin Souzouden Wataru,2025-01-12,"Action, Adventure, Comedy, Mecha, Sci-Fi",6.12,tv
https://cdn.myanimelist.net/images/anime/1634/146982l.webp,Everyday Host,2025-04-05,"Adult Cast, Comedy, Gag Humor, Workplace",6.13,tv
https://cdn.myanimelist.net/images/anime/1577/147967l.jpg,Your Forma,2025-04-02,"Detective, Mystery, Sci-Fi",6.14,tv
https://cdn.myanimelist.net/images/anime/1059/147448l.webp,Shirohiyo - Reincarnated as a Neglected Noble: Raising My Baby Brother With Memories From My Past Life,2025-04-20,"Comedy, Fantasy, Isekai, Reincarnation",6.14,tv
https://cdn.myanimelist.net/images/anime/1979/148096l.jpg,Uchuujin MuuMuu,2025-04-10,"Comedy, Sci-Fi, Seinen",6.14,tv
https://cdn.myanimelist.net/images/anime/1008/98996l.jpg,Mrs. Sazae,1969-10-05,"Comedy, Slice of Life",6.15,tv
https://cdn.myanimelist.net/images/anime/1659/144170l.jpg,Neko ni Tensei shita Ojisan,2024-10-07,"Comedy, Pets, Reincarnation",6.2,tv
https://cdn.myanimelist.net/images/anime/1118/149222l.webp,The Dinner Table Detective,2025-04-04,"Adult Cast, Comedy, Detective, Mystery",6.26,tv
https://cdn.myanimelist.net/images/anime/1584/149734l.jpg,One Piece: Dr. Chopper's Adventure Checkup - The Ballad of a Father and Daughter,2025-05-11,"Action, Adventure, Comedy, Fantasy, Shounen",6.27,tv_special
https://cdn.myanimelist.net/images/anime/1538/147930l.webp,"Bye Bye, Earth Season 2",2025-04-04,"Action, Adventure, Anthropomorphic, Fantasy",6.31,tv
https://cdn.myanimelist.net/images/anime/1622/149562l.webp,Umayuru: Pretty Gray,2025-04-30,"Anthropomorphic, Comedy",6.34,ona
https://cdn.myanimelist.net/images/anime/1653/146834l.jpg,Tom and Jerry,2022-11-11,"Comedy, Kids",6.34,tv
https://cdn.myanimelist.net/images/anime/1770/148195l.jpg,The Mononoke Lecture Logs of Chuzenji-sensei: He Just Solves All the Mysteries,2025-04-07,"Historical, Mystery, School, Shounen, Supernatural",6.35,tv
