image,title,start_date,genres,num_list_users,media_type
https://cdn.myanimelist.net/images/anime/1637/148197l.jpg,Hell Teacher: Jigoku Sensei Nube,2025-07-02,"Comedy, Horror, School, Shounen, Supernatural",7730,tv
https://cdn.myanimelist.net/images/anime/1313/149355l.webp,Welcome to the Outcast's Restaurant!,2025-07-03,"Fantasy, Gourmet",4608,tv
https://cdn.myanimelist.net/images/anime/1721/149001l.jpg,Dan Da Dan Season 2,2025-07-04,"Action, Comedy, Shounen, Supernatural",159738,tv
https://cdn.myanimelist.net/images/anime/1790/149462l.jpg,Arknights: Rise from Ember,2025-07-04,"Action, Fantasy",12444,tv
https://cdn.myanimelist.net/images/anime/1860/148706l.jpg,Punirunes: Puni 3,2025-07-05,"Fantasy, Kids, Slice of Life",101,tv
https://cdn.myanimelist.net/images/anime/1669/149732l.jpg,Secrets of the Silent Witch,2025-07-05,"Fantasy, School",19003,tv
https://cdn.myanimelist.net/images/anime/1034/146540l.jpg,Busamen Gachi Fighter,2025-07-06,"Action, Adventure, Fantasy, Isekai, Seinen",3039,tv
https://cdn.myanimelist.net/images/anime/1943/149719l.jpg,Cultural Exchange With a Game Centre Girl,2025-07-06,"Comedy, Love Status Quo, Romance",8613,tv
https://cdn.myanimelist.net/images/anime/1896/148886l.jpg,Toilet-Bound Hanako-kun Season 2 Part 2,2025-07-06,"School, Shounen, Supernatural",14947,tv
https://cdn.myanimelist.net/images/anime/1154/149311l.jpg,Dekin no Mogura,2025-07-07,"Comedy, Mystery, Seinen, Supernatural",6409,tv
https://cdn.myanimelist.net/images/anime/1265/148526l.jpg,Binan Koukou Chikyuu Bouei-bu Haikara!,2025-07-07,"Comedy, Historical, Parody, School",1550,tv
https://cdn.myanimelist.net/images/anime/1981/149640l.jpg,City The Animation,2025-07-07,"Comedy, Gag Humor, Seinen",17661,tv
https://cdn.myanimelist.net/images/anime/1278/145814l.webp,Grand Blue Dreaming Season 2,2025-07-08,"Adult Cast, Comedy, Gag Humor, Seinen",62701,tv
https://cdn.myanimelist.net/images/anime/1154/149614l.webp,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,2025-07-10,"Adventure, Fantasy, Reincarnation",37184,tv
https://cdn.myanimelist.net/images/anime/1449/147268l.webp,Solo Camping for Two,2025-07-11,"Adult Cast, Seinen, Slice of Life",4951,tv
https://cdn.myanimelist.net/images/anime/1235/148715l.webp,Tougen Anki,2025-07-11,"Action, Mythology, Shounen, Supernatural",26301,tv
https://cdn.myanimelist.net/images/anime/1758/148719l.webp,Sakamoto Days Part 2,2025-07-15,"Action, Adult Cast, Comedy, Organized Crime, Shounen",63347,tv
https://cdn.myanimelist.net/images/anime/1135/149006l.jpg,Tooi-san wa Seishun Shitai! Baka to Smartphone to Romance to,2025-07-18,"Comedy, School",247,movie
https://cdn.myanimelist.net/images/anime/1681/148216l.webp,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,"Action, Historical, Shounen, Supernatural",141136,movie
https://cdn.myanimelist.net/images/anime/1540/149587l.jpg,Nobody,2025-08-02,Fantasy,147,movie
https://cdn.myanimelist.net/images/anime/1070/148160l.webp,Crayon Shin-chan Movie 33: Chou Karei! Shakunetsu no Kasukabe Dancers,2025-08-08,"Adventure, Comedy, Seinen",588,movie
https://cdn.myanimelist.net/images/anime/1288/148819l.jpg,ChaO,2025-08-15,"Fantasy, Romance, Urban Fantasy",1084,movie
https://cdn.myanimelist.net/images/anime/1061/148282l.jpg,As One,2025-08-22,"Action, Mecha, Sci-Fi",356,movie
https://cdn.myanimelist.net/images/anime/1258/148356l.jpg,Odekake Kozame Movie: Tokai no Otomodachi,2025-08-22,"Anthropomorphic, Slice of Life",672,movie
https://cdn.myanimelist.net/images/anime/1807/148457l.webp,Fushigi no Kuni de Alice to: Dive in Wonderland,2025-08-29,Fantasy,2109,movie
