Name,Image,Company,Position,Ignition Ability,Age,Status,Role
Huo Yan Li,images_fire_force/Huo_Yan_Li.webp,Company 1,Captain,Flame of Life,30,Alive,Current Captain
Karim Flam,images_fire_force/Karim_Flam.webp,Company 1,Lieutenant,Flame of Life,22,Alive,Current Lieutenant
Onyango,images_fire_force/Onyango.webp,Company 1,Lieutenant,Flame of Life,Unknown,Alive,Current Lieutenant
Tamaki Kotatsu,images_fire_force/Tamaki_Kotatsu.webp,Company 1,Second Class Fire Soldier,Lucky Lewd,17,Alive,Main Character
Konyango,images_fire_force/Konyango.webp,Company 1,Fire Soldier,Flame of Life,Unknown,Alive,Support Character
Leonard Burns,images_fire_force/Leonard_Burns.webp,Company 1,Former Captain,Flame of Life,50,Alive,Former Captain
Rekka Hoshimiya,images_fire_force/Rekka_Hoshimiya.webp,Company 1,Former Lieutenant,Flame of Life,23,Deceased,Antagonist
Gustav Honda,images_fire_force/Gustav_Honda.webp,Company 2,Captain,Flame of Life,46,Alive,Current Captain
Taguchi,images_fire_force/Taguchi.webp,Company 2,Lieutenant,Flame of Life,Unknown,Alive,Current Lieutenant
Takeru Noto,images_fire_force/Takeru_Noto.webp,Company 2,Second Class Soldier,Flame of Life,18,Alive,Support Character
Giovanni,images_fire_force/Giovanni.webp,Company 3,Former Captain,Flame of Life,51,Alive,Antagonist
Flail,images_fire_force/Flail.webp,Company 3,Imposter Fire Soldier,Flame of Life,Unknown,Alive,Antagonist
Mirage,images_fire_force/Mirage.webp,Company 3,Impostor Fire Soldier,Flame of Life,Unknown,Alive,Antagonist
Pan Ko Paat,images_fire_force/Pan_Ko_Paat.webp,Company 4,Captain,Flame of Life,30,Alive,Current Captain
Ogun Montgomery,images_fire_force/Ogun_Montgomery.webp,Company 4,Fire Soldier,Flame of Life,17,Alive,Support Character
Karin Sasaki,images_fire_force/Karin_Sasaki.webp,Company 4,Fire Soldier,Flame of Life,Unknown,Alive,Support Character
Sōichirō Hague,images_fire_force/Sōichirō_Hague.webp,Company 4,Former Captain,Flame of Life,Unknown,Deceased,Former Captain
Hibana,images_fire_force/Hibana.webp,Company 5,Captain,Flame of Life,20,Alive,Current Captain
Tokuyama,images_fire_force/Tokuyama.webp,Company 5,Lieutenant,Flame of Life,Unknown,Alive,Current Lieutenant
Conehead,images_fire_force/Conehead.webp,Company 5,Fire Soldier,Flame of Life,Unknown,Alive,Support Character
5th Angels Three,images_fire_force/3_Angels_of_the_5th.webp,Company 5,Fire Soldiers,Flame of Life,Unknown,Alive,Support Characters
Tōru Kishiri,images_fire_force/Tōru_Kishiri.webp,Company 5,Fire Soldier,Flame of Life,Unknown,Alive,Support Character
Setsuo Miyamoto,images_fire_force/Setsuo_Miyamoto.webp,Company 5,Fire Soldier,Flame of Life,Unknown,Deceased,Former Member
Kayoko Huang,images_fire_force/Kayoko_Huang.webp,Company 6,Captain,Flame of Life,47,Alive,Current Captain
Asako Hague,images_fire_force/Asako_Hague.webp,Company 6,Lieutenant,Flame of Life,Unknown,Alive,Current Lieutenant
Benimaru Shinmon,images_fire_force/Benimaru_Shinmon.webp,Company 7,Captain,Flame of Life,22,Alive,Current Captain
Konro,images_fire_force/Konro.webp,Company 7,Lieutenant,Flame of Life,38,Alive,Current Lieutenant
Hikage,images_fire_force/Hikage.webp,Company 7,Fire Soldier,Flame of Life,Unknown,Alive,Support Character
Hinata,images_fire_force/Hinata.webp,Company 7,Fire Soldier,Flame of Life,Unknown,Alive,Support Character
Akitaru Ōbi,images_fire_force/Akitaru_Ōbi.webp,Company 8,Captain,Flame of Life,31,Alive,Current Captain
Takehisa Hinawa,images_fire_force/Takehisa_Hinawa.webp,Company 8,Lieutenant,Flame of Life,28,Alive,Current Lieutenant
Iris,images_fire_force/Iris.webp,Company 8,Sister,Flame of Life,16,Alive,Support Character
Maki Oze,images_fire_force/Maki_Oze.webp,Company 8,First Class Fire Soldier,Heat Wave,19,Alive,Main Character
Shinra Kusakabe,images_fire_force/Shinra_Kusakabe.webp,Company 8,Second Class Fire Soldier,Devil's Footprints,17,Alive,Main Character
Arthur Boyle,images_fire_force/Arthur_Boyle.webp,Company 8,Second Class Fire Soldier,Excalibur,16,Alive,Main Character
Vulcan Joseph,images_fire_force/Vulcan_Joseph.webp,Company 8,Engineer,Flame of Life,18,Alive,Support Character
Tamaki Kotatsu,images_fire_force/Tamaki_Kotatsu.webp,Company 8,Second Class Fire Soldier,Lucky Lewd,17,Alive,Main Character
Viktor Licht,images_fire_force/Viktor_Licht.webp,Company 8,Scientist,Flame of Life,23,Alive,Support Character
Lisa Isaribi,images_fire_force/Lisa_Isaribi.webp,Company 8,Engineer,Flame of Life,19,Alive,Support Character 
