title,image,score,media_type,genres,category,is_winner
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Anime of the Year,False
Dungeon Meshi,https://cdn.myanimelist.net/images/anime/1711/142478l.webp,8.6,tv,"Adventure, Comedy, Fantasy, Gourmet, Seinen",Anime of the Year,False
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,9.3,tv,"Adventure, Drama, Fantasy, Shounen",Anime of the Year,False
Kaijuu 8-gou Movie,https://cdn.myanimelist.net/images/anime/1127/146604l.webp,6.94,movie,"Action, Adult Cast, Fantasy, Military, Sci-Fi, Shounen, Urban Fantasy",Anime of the Year,False
Ore dake Level Up na Ken,https://cdn.myanimelist.net/images/anime/1801/142390l.jpg,8.27,tv,"Action, Adult Cast, Adventure, Fantasy, Urban Fantasy",Anime of the Year,True
Kusuriya no Hitorigoto,https://cdn.myanimelist.net/images/anime/1708/138033l.jpg,8.87,tv,"Drama, Historical, Medical, Mystery",Anime of the Year,False
Haikyuu!! Movie 4: Concept no Tatakai,https://cdn.myanimelist.net/images/anime/1854/147254l.jpg,8.25,movie,"School, Shounen, Sports, Team Sports",Film of the Year,False
Look Back,https://cdn.myanimelist.net/images/anime/1716/142633l.webp,8.65,movie,"Drama, Otaku Culture, Shounen",Film of the Year,True
Fukigen na Mononokean,https://cdn.myanimelist.net/images/anime/11/80009l.webp,7.42,tv,"Comedy, Mythology, Supernatural",Film of the Year,False
Boku no Hero Academia the Movie 4: You're Next,https://cdn.myanimelist.net/images/anime/1480/143549l.webp,7.5,movie,"Action, School, Shounen, Super Power",Film of the Year,False
Spy x Family Movie: Code: White,https://cdn.myanimelist.net/images/anime/1426/139388l.webp,8.12,movie,"Action, Childcare, Comedy, Shounen, Super Power",Film of the Year,False
Kimi no Iro,https://cdn.myanimelist.net/images/anime/1971/142121l.webp,7.66,movie,"Drama, Music",Film of the Year,False
Bucchigiri?!,https://cdn.myanimelist.net/images/anime/1885/139871l.webp,6.51,tv,"Comedy, Delinquents, School, Supernatural",Best Original Anime,False
Girls Band Cry Movie,https://cdn.myanimelist.net/images/anime/1287/149287l.webp,N/A,movie,"Drama, Music",Best Original Anime,False
Yoru no Kurage wa Oyogenai,https://cdn.myanimelist.net/images/anime/1834/141827l.webp,7.76,tv,"Drama, Music",Best Original Anime,False
Metallic Rouge,https://cdn.myanimelist.net/images/anime/1859/140210l.jpg,6.2,tv,"Action, Sci-Fi",Best Original Anime,False
