name,image,club_image,team,value,status,assists,team_color,goal
Gurimu Igarashi,https://static.wikia.nocookie.net/bluelock/images/a/aa/Gurimu_Igarashi.png,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,3000000,Eliminated,,#ac0002
Hajime Nishioka,https://static.wikia.nocookie.net/bluelock/images/a/a6/Hajime_Nishioka_%28anime%29.png,https://static.wikia.nocookie.net/bluelock/images/9/99/Manshine_City_Official_Logo.png,Manshine City,3000000,Eliminated,,#497f9e
Teru Kitsunezato,https://static.wikia.nocookie.net/bluelock/images/2/26/Teru_Kitsunezato.png,https://static.wikia.nocookie.net/bluelock/images/4/4a/Barcha_Official_Logo.png,FC Barcha,4000000,Eliminated,,#a4a203
Itsuki Wakatsuki,https://static.wikia.nocookie.net/bluelock/images/a/af/Itsuki_Wakatsuki.png,https://static.wikia.nocookie.net/bluelock/images/4/4a/Barcha_Official_Logo.png,FC Barcha,5000000,Eliminated,,#a4a203
Kento Cho,https://static.wikia.nocookie.net/bluelock/images/1/1d/Kento_Cho.png,https://static.wikia.nocookie.net/bluelock/images/c/cf/Paris_X_Gen_Official_Logo.png,Paris X Gen,5000000,Eliminated,,#294c7f
Shizuka Haiji,https://static.wikia.nocookie.net/bluelock/images/9/9d/Shizuka_Haiji.png,https://static.wikia.nocookie.net/bluelock/images/4/4a/Barcha_Official_Logo.png,FC Barcha,6000000,Eliminated,,#a4a203
Aiki Himizu,https://static.wikia.nocookie.net/bluelock/images/7/74/Aiki_Himizu.png,https://static.wikia.nocookie.net/bluelock/images/4/4a/Barcha_Official_Logo.png,FC Barcha,7000000,Eliminated,,#a4a203
Junichi Wanima,https://static.wikia.nocookie.net/bluelock/images/2/2b/Junichi_Wanima.png,https://static.wikia.nocookie.net/bluelock/images/9/99/Manshine_City_Official_Logo.png,Manshine City,8200000,Eliminated,,#497f9e
Reiji Hiiragi,https://static.wikia.nocookie.net/bluelock/images/d/dd/Reiji_Hiiragi.png,https://static.wikia.nocookie.net/bluelock/images/9/99/Manshine_City_Official_Logo.png,Manshine City,11000000,Eliminated,,#497f9e
Miroku Darai,https://static.wikia.nocookie.net/bluelock/images/4/45/Miroku_Darai.png,https://static.wikia.nocookie.net/bluelock/images/4/4a/Barcha_Official_Logo.png,FC Barcha,15000000,Eliminated,,#a4a203
Kazuma Nio,https://static.wikia.nocookie.net/bluelock/images/0/0b/Kazuma_Nio.png,https://static.wikia.nocookie.net/bluelock/images/9/99/Manshine_City_Official_Logo.png,Manshine City,18000000,Eliminated,,#497f9e
Haru Hayate,https://static.wikia.nocookie.net/bluelock/images/4/49/Haru_Hayate.png,https://static.wikia.nocookie.net/bluelock/images/4/4a/Barcha_Official_Logo.png,FC Barcha,20000000,Eliminated,,#a4a203
Aoshi Tokimitsu,https://static.wikia.nocookie.net/bluelock/images/b/b4/Aoshi_Tokimitsu.png,https://static.wikia.nocookie.net/bluelock/images/c/cf/Paris_X_Gen_Official_Logo.png,Paris X Gen,22000000,Eliminated,,#294c7f
Seishiro Nagi,https://static.wikia.nocookie.net/bluelock/images/c/c9/Seishiro_Nagi.png,https://static.wikia.nocookie.net/bluelock/images/9/99/Manshine_City_Official_Logo.png,Manshine City,24000000,Eliminated,Largest decrease: -¥64M,#497f9e
Nijiro Nanase,https://static.wikia.nocookie.net/bluelock/images/8/86/Nijiro_Nanase.png,https://static.wikia.nocookie.net/bluelock/images/c/cf/Paris_X_Gen_Official_Logo.png,Paris X Gen,25000000,Qualified,,#294c7f
Jin Kiyora,https://static.wikia.nocookie.net/bluelock/images/a/a9/Jin_Kiyora.png,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,26000000,Qualified,,#ac0002
