name,image,club_image,team,value,status,assists,team_color,old_bounties
Roger,https://static.wikia.nocookie.net/onepiece/images/6/6c/Gol_D._Roger_Portrait.png,,,5564800000,Pirate,0,#e74c3c,
Edward Newgate,https://static.wikia.nocookie.net/onepiece/images/c/cb/Edward_Newgate_Portrait.png,,,5046000000,Pirate,0,#e74c3c,
Akainu,img/Akainu.webp,,,5000000000,Marine,0,#3498db,
Kaidou,https://static.wikia.nocookie.net/onepiece/images/6/6b/Kaidou_Portrait.png,,,4611100000,Pirate,0,#e74c3c,70000000
Linlin,https://static.wikia.nocookie.net/onepiece/images/d/d7/Charlotte_Linlin_Portrait.png,,,4388000000,Pirate,0,#e74c3c,"50000000,500000000"
Shanks,https://static.wikia.nocookie.net/onepiece/images/d/db/Shanks_Portrait.png,,,4048900000,Pirate,0,#e74c3c,1040000000
Teach,https://static.wikia.nocookie.net/onepiece/images/e/e2/Marshall_D._Teach_Portrait.png,,,3996000000,Warlord,0,#f39c12,2247600000
Dracule Mihawk,https://static.wikia.nocookie.net/onepiece/images/8/85/Dracule_Mihawk_Portrait.png,,,3590000000,Warlord,0,#f39c12,
Baggy,img/Baggy_Portrait.webp,,,3189000000,Warlord,0,#f39c12,15000000
Luffy,https://static.wikia.nocookie.net/onepiece/images/a/a9/Monkey_D._Luffy_Portrait.png,,,3000000000,Pirate,0,#e74c3c,"30000000,100000000,300000000,400000000,500000000,1500000000"
Eustass Kid,https://static.wikia.nocookie.net/onepiece/images/a/a9/Eustass_Kid_Portrait.png,,,3000000000,Pirate,0,#e74c3c,"315000000,470000000"
Law,https://static.wikia.nocookie.net/onepiece/images/3/31/Trafalgar_D._Water_Law_Portrait.png,,,3000000000,Warlord,0,#f39c12,"200000000,440000000,500000000"
Garp,https://static.wikia.nocookie.net/onepiece/images/e/e6/Monkey_D._Garp_Portrait.png,,,3000000000,Marine,0,#3498db,
Ryokugyu,https://static.wikia.nocookie.net/onepiece/images/a/a2/Aramaki_Portrait.png,,,3000000000,Marine,0,#3498db,
Kizaru,https://static.wikia.nocookie.net/onepiece/images/9/97/Borsalino_Portrait.png,,,3000000000,Marine,0,#3498db,
Fujitora,https://static.wikia.nocookie.net/onepiece/images/d/db/Issho_Portrait.png,,,3000000000,Marine,0,#3498db,
Loki,https://static.wikia.nocookie.net/onepiece/images/b/b7/Loki_Portrait.png,,,2600000000,Other,0,#95a5a6,
Crocodile,https://static.wikia.nocookie.net/onepiece/images/3/3c/Crocodile_Portrait.png,,,1965000000,Warlord,0,#f39c12,81000000
Dorry,https://static.wikia.nocookie.net/onepiece/images/3/39/Dorry_Portrait.png,,,1800000000,Pirate,0,#e74c3c,100000000
Brogy,https://static.wikia.nocookie.net/onepiece/images/9/90/Brogy_Portrait.png,,,1800000000,Pirate,0,#e74c3c,100000000
Boa Hancock,https://static.wikia.nocookie.net/onepiece/images/2/22/Boa_Hancock_Portrait.png,,,1659000000,Warlord,0,#f39c12,80000000
King,img/king.webp,,,1390000000,Pirate,0,#e74c3c,
Marco,https://static.wikia.nocookie.net/onepiece/images/a/a1/Marco_Portrait.png,,,1374000000,Pirate,0,#e74c3c,
Queen,https://static.wikia.nocookie.net/onepiece/images/a/aa/Queen_Portrait.png,,,1320000000,Pirate,0,#e74c3c,
Roronoa Zoro,https://static.wikia.nocookie.net/onepiece/images/5/5d/Roronoa_Zoro_Portrait.png,,,1111000000,Bounty Hunter,0,#9b59b6,"60000000,120000000"
Jinbe,https://static.wikia.nocookie.net/onepiece/images/f/f7/Jinbe_Portrait.png,,,1100000000,Warlord,0,#f39c12,"76000000,250000000,438000000"
Katakuri,https://static.wikia.nocookie.net/onepiece/images/1/19/Charlotte_Katakuri_Portrait.png,,,1057000000,Pirate,0,#e74c3c,
Sanji,https://static.wikia.nocookie.net/onepiece/images/0/0c/Sanji_Portrait.png,,,1032000000,Pirate,0,#e74c3c,"77000000,177000000"
Jack,https://static.wikia.nocookie.net/onepiece/images/3/3e/Jack_Portrait.png,,,1000000000,Pirate,0,#e74c3c,
Sspaden,img/Sspaden_Portrait.webp,,,1000000000,Marine,0,#3498db,
Smoothie,https://static.wikia.nocookie.net/onepiece/images/0/0b/Charlotte_Smoothie_Portrait.png,,,932000000,Pirate,0,#e74c3c,
Nico Robin,img/Nico_Robin_Portrait.webp,,,930000000,Revolutionary,0,#2ecc71,"79000000,80000000"
Cracker,https://static.wikia.nocookie.net/onepiece/images/b/be/Charlotte_Cracker_Portrait.png,,,860000000,Pirate,0,#e74c3c,
Perospero,https://static.wikia.nocookie.net/onepiece/images/e/ec/Charlotte_Perospero_Portrait.png,,,700000000,Pirate,0,#e74c3c,
Sabo,https://static.wikia.nocookie.net/onepiece/images/2/2e/Sabo_Portrait.png,,,602000000,Revolutionary,0,#2ecc71,
Snack,https://static.wikia.nocookie.net/onepiece/images/7/7a/Charlotte_Snack_Portrait.png,,,600000000,Pirate,0,#e74c3c,
Little Oars Jr.,img/little oars jr._Portrait.webp,,,550000000,Pirate,0,#e74c3c,
Portgas D. Ace,https://static.wikia.nocookie.net/onepiece/images/8/8f/Portgas_D._Ace_Portrait.png,,,550000000,Pirate,0,#e74c3c,
Who's-Who,https://static.wikia.nocookie.net/onepiece/images/7/7c/Who%27s-Who_Portrait.png,,,546000000,Pirate,0,#e74c3c,
Chinjao,https://static.wikia.nocookie.net/onepiece/images/f/fa/Chinjao_Portrait.png,,,542000000,Pirate,0,#e74c3c,
Izou,https://static.wikia.nocookie.net/onepiece/images/f/fa/Izou_Portrait.png,,,510000000,Pirate,0,#e74c3c,
Usopp,https://static.wikia.nocookie.net/onepiece/images/9/97/Usopp_Portrait.png,,,500000000,Pirate,0,#e74c3c,30000000
Koby,https://static.wikia.nocookie.net/onepiece/images/9/95/Koby_Portrait.png,,,500000000,Marine,0,#3498db,
Prince Gles,img/Prince_Gles_Portrait.webp,,,500000000,Marine,0,#3498db,
Kujaku,https://static.wikia.nocookie.net/onepiece/images/d/d8/Kujaku_Portrait.png,,,500000000,Marine,0,#3498db,
Sentomaru,https://static.wikia.nocookie.net/onepiece/images/8/82/Sentomaru_Portrait.png,,,500000000,Marine,0,#3498db,
