image,title,start_date,genres,num_list_users,media_type,mean
https://cdn.myanimelist.net/images/anime/1643/138581l.webp,The Dangers in My Heart Season 2,2024-01-07,"Comedy, Romance, School, Shounen",262989,tv,8.75
https://cdn.myanimelist.net/images/anime/1050/139641l.webp,Kingdom: Season 5,2024-01-14,"Action, Historical, Military, Seinen",50564,tv,8.72
https://cdn.myanimelist.net/images/anime/1216/142086l.jpg,Sound! Euphonium 3,2024-04-07,"Drama, Music, School",86408,tv,8.72
https://cdn.myanimelist.net/images/anime/1749/145922l.webp,Orb: On the Movements of the Earth,2024-10-05,"Drama, Historical, Seinen",200972,tv,8.71
https://cdn.myanimelist.net/images/anime/1595/144074l.webp,Bleach: Thousand-Year Blood War - The Conflict,2024-10-05,"Action, Adventure, Shounen, Supernatural",234419,tv,8.67
https://cdn.myanimelist.net/images/anime/1711/142478l.jpg,Delicious in Dungeon,2024-01-04,"Adventure, Comedy, Fantasy, Gourmet, Seinen",482160,tv,8.6
https://cdn.myanimelist.net/images/anime/1270/145168l.webp,Natsume's Book of Friends Season 7,2024-10-08,"Iyashikei, Mythology, Shoujo, Slice of Life, Supernatural",49537,tv,8.58
https://cdn.myanimelist.net/images/anime/1006/143302l.jpg,[Oshi No Ko] Season 2,2024-07-03,"Drama, Reincarnation, Seinen, Showbiz",441621,tv,8.57
https://cdn.myanimelist.net/images/anime/1584/143719l.jpg,Dan Da Dan,2024-10-04,"Action, Comedy, Shounen, Supernatural",726757,tv,8.51
https://cdn.myanimelist.net/images/anime/1706/144725l.webp,Re:ZERO -Starting Life in Another World- Season 3,2024-10-02,"Drama, Fantasy, Isekai, Psychological, Suspense, Time Travel",404186,tv,8.47
https://cdn.myanimelist.net/images/anime/1876/141251l.jpg,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,2024-04-08,"Adventure, Drama, Ecchi, Fantasy, Isekai, Reincarnation",491346,tv,8.42
https://cdn.myanimelist.net/images/anime/1711/140515l.webp,Girls Band Cry,2024-04-06,"Drama, Music",113177,tv,8.38
https://cdn.myanimelist.net/images/anime/1758/141268l.webp,KonoSuba: God's Blessing on This Wonderful World! 3,2024-04-10,"Adventure, Comedy, Fantasy, Isekai, Parody",492918,tv,8.35
https://cdn.myanimelist.net/images/anime/1370/140362l.webp,Kaiju No. 8,2024-04-13,"Action, Adult Cast, Fantasy, Military, Sci-Fi, Shounen, Urban Fantasy",592470,tv,8.29
https://cdn.myanimelist.net/images/anime/1996/147601l.jpg,Shangri-La Frontier Season 2,2024-10-13,"Action, Adventure, Fantasy, Shounen, Video Game",204315,tv,8.29
https://cdn.myanimelist.net/images/anime/1801/142390l.webp,Solo Leveling,2024-01-07,"Action, Adult Cast, Adventure, Fantasy, Urban Fantasy",958801,tv,8.27
https://cdn.myanimelist.net/images/anime/1496/147108l.jpg,Blue Box,2024-10-03,"Love Polygon, Romance, School, Shounen, Sports, Team Sports",249659,tv,8.22
https://cdn.myanimelist.net/images/anime/1478/140828l.webp,A Sign of Affection,2024-01-06,"Adult Cast, Romance, Shoujo",295520,tv,8.21
https://cdn.myanimelist.net/images/anime/1988/142714l.webp,The Duke of Death and His Maid Season 3,2024-04-07,"Comedy, Fantasy, Love Status Quo, Romance",61842,tv,8.14
https://cdn.myanimelist.net/images/anime/1332/143513l.jpg,Makeine: Too Many Losing Heroines!,2024-07-14,"Comedy, Romance, School",274348,tv,8.12
https://cdn.myanimelist.net/images/anime/1254/141155l.jpg,The Fable,2024-04-07,"Adult Cast, Comedy, Organized Crime, Seinen, Suspense",84586,tv,8.11
https://cdn.myanimelist.net/images/anime/1059/142414l.webp,Spice and Wolf: Merchant Meets the Wise Wolf,2024-04-02,"Adult Cast, Adventure, Drama, Romance, Supernatural",236691,tv,8.11
https://cdn.myanimelist.net/images/anime/1565/142711l.jpg,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,2024-05-12,"Action, Historical, Shounen, Supernatural",625242,tv,8.1
https://cdn.myanimelist.net/images/anime/1529/140306l.webp,My Hero Academia Season 7,2024-05-04,"Action, School, Shounen, Super Power",382717,tv,8.07
https://cdn.myanimelist.net/images/anime/1084/142685l.webp,Yatagarasu: The Raven Does Not Choose Its Master,2024-04-06,"Drama, Fantasy, Historical, Mythology",52034,tv,8.06
https://cdn.myanimelist.net/images/anime/1364/143539l.webp,NieR:Automata Ver1.1a (Cour 2),2024-07-05,"Action, Fantasy, Sci-Fi",97990,tv,8.05
https://cdn.myanimelist.net/images/anime/1155/144299l.jpg,Ranma ½,2024-10-06,"Action, Comedy, Ecchi, Magical Sex Shift, Martial Arts, Romance, School, Shounen",130474,tv,8.02
https://cdn.myanimelist.net/images/anime/1178/142710l.webp,Laid-Back Camp Season 3,2024-04-04,"CGDCT, Iyashikei, Slice of Life",93702,tv,8.02
https://cdn.myanimelist.net/images/anime/1332/139318l.jpg,Classroom of the Elite III,2024-01-03,"Drama, Psychological, School, Suspense",465047,tv,7.95
https://cdn.myanimelist.net/images/anime/1928/146063l.jpg,One Piece Log: Fish-Man Island Saga,2024-11-03,"Action, Adventure, Fantasy, Shounen",35592,tv,7.94
https://cdn.myanimelist.net/images/anime/1299/144738l.jpg,Is It Wrong to Try to Pick Up Girls in a Dungeon? V,2024-10-05,"Action, Adventure, Fantasy",183176,tv,7.91
https://cdn.myanimelist.net/images/anime/1489/144640l.webp,Love Live! Superstar!! Season 3,2024-10-06,"Idols (Female), Music, School, Slice of Life",19654,tv,7.89
https://cdn.myanimelist.net/images/anime/1281/144104l.jpg,Wistoria: Wand and Sword,2024-07-07,"Action, Fantasy, School, Shounen",300534,tv,7.87
https://cdn.myanimelist.net/images/anime/1505/141820l.webp,Black Butler: Public School Arc,2024-04-13,"Action, Historical, Mystery, Mythology, School, Shounen, Supernatural",96232,tv,7.86
https://cdn.myanimelist.net/images/anime/1517/140830l.webp,Urusei Yatsura (2022) 2nd Season,2024-01-12,"Comedy, Romance, Sci-Fi, Shounen",53021,tv,7.85
https://cdn.myanimelist.net/images/anime/1794/142621l.jpg,Tsukimichi -Moonlit Fantasy- Season 2,2024-01-08,"Action, Adventure, Comedy, Fantasy, Isekai",294131,tv,7.84
https://cdn.myanimelist.net/images/anime/1607/143547l.jpg,Pseudo Harem,2024-07-05,"Comedy, Love Status Quo, Romance, School, Shounen",187245,tv,7.84
https://cdn.myanimelist.net/images/anime/1912/140804l.webp,Mashle: Magic and Muscles The Divine Visionary Candidate Exam Arc,2024-01-06,"Action, Comedy, Fantasy, Gag Humor, Parody, School, Shounen",442137,tv,7.8
https://cdn.myanimelist.net/images/anime/1037/145338l.jpg,MF Ghost Season 2,2024-10-07,"Drama, Racing, Seinen",39381,tv,7.8
https://cdn.myanimelist.net/images/anime/1386/140401l.webp,The Elusive Samurai,2024-07-06,"Adventure, Comedy, Historical, Samurai, Shounen",180686,tv,7.8
https://cdn.myanimelist.net/images/anime/1314/145530l.jpg,Rurouni Kenshin: Kyoto Disturbance,2024-10-04,"Action, Historical, Samurai, Shounen",52557,tv,7.77
https://cdn.myanimelist.net/images/anime/1834/141827l.webp,Jellyfish Can't Swim in the Night,2024-04-07,"Drama, Music",122062,tv,7.76
https://cdn.myanimelist.net/images/anime/1272/139785l.webp,"Tadaima, Okaeri",2024-04-09,"Boys Love, Childcare, Drama",41259,tv,7.74
https://cdn.myanimelist.net/images/anime/1438/141816l.webp,Wind Breaker,2024-04-05,"Action, Delinquents, School",383131,tv,7.74
https://cdn.myanimelist.net/images/anime/1211/143476l.webp,That Time I Got Reincarnated as a Slime Season 3,2024-04-05,"Action, Comedy, Fantasy, Isekai, Reincarnation, Shounen",418074,tv,7.69
https://cdn.myanimelist.net/images/anime/1659/141438l.webp,Date A Live V,2024-04-10,"Action, Fantasy, Harem, Romance, School, Sci-Fi, Urban Fantasy",127617,tv,7.69
https://cdn.myanimelist.net/images/anime/1723/145231l.webp,Dragon Ball Daima,2024-10-11,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen",114810,tv,7.65
https://cdn.myanimelist.net/images/anime/1525/139345l.jpg,Gushing over Magical Girls,2024-01-03,"Action, Comedy, Ecchi, Girls Love, Mahou Shoujo",181501,tv,7.63
https://cdn.myanimelist.net/images/anime/1762/139690l.jpg,Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,2024-01-11,"Adult Cast, Boys Love, Comedy, Super Power, Workplace",78347,tv,7.63
https://cdn.myanimelist.net/images/anime/1683/145446l.webp,"The Most Notorious ""Talker"" Runs the World's Greatest Clan",2024-10-07,"Action, Adventure, Fantasy",121778,tv,7.61
